,Word,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,D.Mean.Sum,D.SD.Sum,D.Rat.Sum
6580,invention,6.4,1.5,20,4.24,2.83,21,6.67,2.3,27
6581,inventive,6.29,1.95,21,4.22,2.63,23,6.39,2.66,18
6582,inventor,6.21,1.44,19,4.62,2.5,21,5.15,2.52,20
6583,inventory,4.95,1.65,19,3.58,2.04,19,5.48,2.21,23
6584,inverted,4.91,1.51,22,3.85,2.26,26,5.58,2.17,24
6585,invest,6.16,1.72,38,3.95,1.99,20,5.94,2.67,18
6586,investigate,5.68,1.86,19,4.09,2.33,23,5.43,2.23,28
6587,investigation,4.36,2.3,22,5.7,2.79,20,6.11,2.4,19
6588,investigative,5.5,1.91,20,5.8,2.28,20,5.69,2.19,35
6589,investigator,4.95,1.58,19,4.35,2.25,20,4.79,2.21,24
6590,investment,5.14,1.98,21,4.73,2.12,22,5.19,2.2,21
6591,investor,5.42,1.22,19,3.39,2.09,18,5.76,2.05,17
6592,invincible,6.32,1.63,19,5.3,2.34,20,6.6,2.33,20
6593,invisibility,5.32,1.59,22,4.32,2.77,22,5.1,2.45,20
6594,invisible,5,1.63,19,3.95,2.31,21,4.27,2.35,22
6595,invitation,7.05,1.23,20,4.94,2.13,18,6.43,2.18,21
6596,invite,5.68,1.89,22,5.1,2.4,20,6.95,1.87,19
6597,invoice,4.6,1.43,20,3.68,2.64,22,5.7,2,27
6598,invoke,5.05,2.15,19,4.85,1.95,20,5.54,1.64,24
6599,involuntary,4.05,0.97,19,3.75,2,20,4.13,3.06,23
6600,involve,5.44,1.85,18,3.6,2.21,20,5.28,2.11,18
6601,involvement,5.81,1.4,21,2.95,2.27,21,6.41,1.93,27
6602,invulnerable,6.05,2.01,21,3.85,2.46,20,5.36,2.98,22
6603,iodine,4.9,1.58,21,4.21,2.11,24,4.86,2.29,22
6604,ion,5.1,1.12,20,4.19,2.25,21,5.16,2.72,25
6605,iota,5.16,1.34,19,2.76,2,21,4.55,1.96,20
6606,irate,2.9,1.62,20,4.71,2.74,21,3.6,2.33,25
6607,iris,6.85,1.6,20,4.2,2.55,20,6.24,1.79,25
6608,iron,5.03,1.47,101,3.24,2.18,106,5.51,2.36,93
6609,ironclad,5.14,1.62,21,3.77,2.11,22,6.09,2.16,22
6610,ironic,5.42,1.44,24,4.39,2.1,23,4.46,2.35,26
6611,irony,5.19,1.99,21,4.09,2.37,23,5.28,2.44,18
6612,irrational,3.5,1.91,20,5.12,2.64,17,3.46,2.32,24
6613,irregular,4.05,1.79,20,4.86,2.55,22,4.93,2.95,27
6614,irregularity,4.26,1.52,19,3.94,2.39,18,3.44,1.75,16
6615,irrelevant,3.35,1.63,20,3.71,2.28,17,4.68,1.73,22
6616,irreparable,4.05,2.1,22,5.05,2.72,22,3.5,2.16,20
6617,irreplaceable,5.59,2.34,22,4.62,2.6,21,3.95,2.21,22
6618,irresistible,6.58,1.5,19,5.71,2.51,21,4.68,2.69,25
6619,irresponsible,2.5,1.4,20,5,2.57,18,3.91,2.27,22
6620,irreversible,3.61,2.15,18,4.09,2.33,22,3.11,2.11,28
6621,irrigate,5.23,1.9,22,3.77,2.18,22,5.6,2.11,20
6622,irrigation,3.82,1.65,22,4.65,2.15,26,6.05,2.21,22
6623,irritable,2.85,0.93,20,6.37,2.27,19,4.23,2.41,26
6624,irritate,3.19,1.69,42,5.85,2.23,39,4.39,2.59,18
6625,irritating,2.63,1.42,19,4.91,2.45,22,3.77,2.29,22
6626,irritation,3.38,1.47,21,5.5,2.91,22,4.35,2.43,20
6627,island,7.18,2.06,22,4.25,2.95,20,5.58,2.73,19
6628,isle,6.05,2.07,19,3.24,2.12,21,4.7,2.42,23
6629,isolate,4.35,1.84,20,4.6,2.76,20,4.38,2.12,26
6630,isolation,3.77,2.07,22,3,2.29,19,4.52,2.58,21
6631,isotope,5.35,1.87,20,2.73,1.67,22,5.19,1.88,27
6632,issue,3.95,2.06,22,4.55,2.52,20,5.47,2.48,19
6633,itch,3.11,1.49,19,5,2.59,21,3.86,2.59,21
6634,itchy,2.53,1.43,19,4.9,2.26,21,3,1.65,20
6635,item,5.29,1.72,41,2.9,2,21,5.5,2.4,20
6636,itinerary,6.1,1.25,20,3.27,2.05,22,5.32,2.53,25
6637,ivory,5.2,2.07,20,2.33,1.61,18,5.17,1.81,24
6638,jab,3.81,1.86,21,4.85,2.49,26,5.42,2.36,24
6639,jabber,4.38,1.24,21,3.78,1.95,23,4.95,1.59,22
6640,Jack Daniels,5.38,2.58,21,4.78,2.98,23,5.59,2.76,17
6641,jackal,4.65,1.6,20,4.58,2.36,24,4.57,2.41,28
6642,jackass,4.05,2.07,19,6.57,2.38,21,4.59,1.97,22
6643,jacket,5.86,1.65,21,3.35,2.16,20,6.89,2.51,19
6644,jackhammer,3.9,1.55,20,4.7,2.44,23,4.76,2.34,21
6645,jackpot,7.1,1.92,21,5.62,3.19,24,4.35,2.81,20
6646,jackrabbit,5.95,1.75,19,3.61,2.35,18,4.36,1.94,22
6647,jade,6.25,1.94,20,3.43,1.75,21,5.37,1.95,19
6648,jaded,3.62,1.53,21,3.79,2.93,24,5.65,2.64,20
6649,jagged,3.95,1.75,21,6.05,2.11,20,4.48,2.34,21
6650,jaguar,5.63,2.19,19,5.55,2.21,20,5.1,2.67,20
6651,jail,1.91,1.44,870,4.47,2.5,38,3.91,2.91,23
6652,jailbird,2.38,1.4,21,4.48,2.22,25,3.18,2.65,22
6653,jailbreak,3.5,1.73,20,5.6,2.3,20,5.27,2.37,22
6654,jailer,2.61,1.72,18,4.95,2.85,22,3.79,2.64,28
6655,jailhouse,2.57,1.41,23,4.5,2.77,22,2.89,2.34,27
6656,jalopy,5.15,2.03,20,3.94,2.62,18,4.12,2.07,24
6657,jam,5.81,2.62,21,3.95,2.44,21,5.89,2.56,18
6658,jamboree,6.14,1.61,22,5.28,2.51,25,5.5,2.25,24
6659,jammer,5.19,1.29,21,4.22,2.37,23,5.1,2.39,21
6660,janitor,4.86,1.75,22,2.3,1.56,20,5.36,2.04,22
6661,janitorial,4.87,1.91,23,3.86,2.08,21,5.35,2.18,20
6662,jar,5.71,1.82,21,2.77,1.88,22,5.26,1.97,27
6663,jargon,4.85,1.14,20,3.95,1.99,21,5.25,2.49,24
6664,jarhead,4.16,2.61,19,4.41,2.99,22,4.14,1.58,28
6665,jasmine,6.74,1.19,19,3.7,1.98,20,5.75,2.01,24
6666,java,5.9,2.25,20,5.05,2.3,22,6.16,2.12,19
6667,javelin,5.24,1.58,21,3.89,2.51,19,5.71,1.85,21
6668,jaw,4.41,1.01,22,4.09,2.35,23,5.84,1.92,19
6669,jawbone,4.63,1.16,19,4.19,1.72,21,5.65,1.94,23
6670,jaws,4.42,1.61,19,5.91,3.24,22,4.68,1.94,28
6671,jazz,6.57,1.86,21,6.05,2.76,19,6.42,2.02,36
6672,jazzy,6.81,1.54,21,4.74,2.42,23,5.42,1.55,26
6673,jealous,2.38,1.43,21,5.9,2.07,20,4.68,2.63,19
6674,jealousy,2.58,1.37,106,5.45,2.47,84,3.89,2.45,98
6675,jean,6.05,1.66,21,2.41,1.71,22,5.19,2.11,27
6676,jeans,5.47,1.71,19,3.95,1.9,20,6.26,1.79,19
6677,jeep,5.53,1.68,19,4.05,2.58,21,5,2.4,19
6678,jeering,2.52,1.54,21,5.57,2.04,21,4.32,2.12,25
6679,jelly,5.9,1.52,20,3.63,1.96,41,5.68,2.16,38
6680,jellybean,6.4,1.98,20,4.77,2.11,22,6.14,2.08,21
6681,jellyfish,4.9,2.36,21,3.73,2.19,22,4,2.63,21
6682,jeopardize,3.1,1.37,20,6.15,2.3,20,3.65,2.02,26
6683,jeopardy,3.84,1.86,19,4.23,2.86,22,4.32,2.11,28
6684,jerk,2.43,1.57,21,6.45,2.01,20,4.84,2.85,19
6685,jerky,4.74,1.79,19,4,2.89,22,4.21,1.81,28
6686,jest,6.2,1.47,20,4.21,2.59,24,5.64,1.77,28
6687,jester,4.53,2.44,19,4.75,2.38,20,5.35,2.11,20
6688,jet,6.74,1.59,19,5.26,2.2,23,5.44,1.85,18
6689,jewel,6.68,1.63,19,3.83,2.57,23,5.1,2.34,20
6690,jeweler,5.95,2.31,21,3.73,2.47,22,5.73,1.97,26
6691,jewelry,7,1.75,22,3.38,2.2,21,6.19,1.94,21
6692,jib,5.53,1.26,19,4.57,1.86,21,4.83,2.27,23
6693,jiff,5.21,1.4,19,4.17,2.21,23,4.68,1.49,19
6694,jiffy,6.09,1.63,22,4.89,2.47,19,6.05,2.01,21
6695,jig,4.95,1.88,21,4.95,2.5,20,5.33,1.83,21
6696,jiggle,6.15,1.9,20,5.22,2.73,18,4.88,2.44,24
6697,jigsaw,5.05,1.57,20,4,2.67,22,6.57,2.09,21
6698,jihad,2.32,1.53,19,5.35,2.87,20,3.08,2.22,24
6699,jingle,5.16,1.5,19,4.33,2.25,18,5.81,1.64,16
6700,jinx,3.59,1.82,22,4.95,2.48,22,4.16,2.22,19
6701,jittery,3.35,1.66,20,4.89,2.65,18,3.5,1.5,22
6702,jive,6.32,1.36,22,5.68,2.19,19,5.29,2.1,21
6703,job,5.64,1.81,22,4,2.34,20,4.44,2.8,16
6704,jockey,4.95,1.46,22,4.84,2.79,19,5.62,1.43,21
6705,jockstrap,3.5,1.99,20,4.33,2.77,18,4.58,2.39,24
6706,jog,5.81,1.36,21,3.43,1.95,23,6.35,1.87,26
6707,jogger,5.11,1.63,19,3.5,2.33,18,5.94,2.22,17
6708,join,5.83,2.07,18,3.9,2.7,21,4.94,2.13,18
6709,joint,5.32,2.15,22,4.5,2.63,20,6.16,2.29,19
6710,joke,7.88,1.44,869,5.73,2.37,22,5.79,1.86,47
6711,joker,5.67,2.01,21,4.21,2.93,24,5.05,2.42,20
6712,jolly,7.47,1.12,43,5.95,2.44,20,7.4,1.55,25
6713,jolt,4.43,1.72,21,6.63,1.98,19,4.76,1.73,21
6714,jot,4.79,1.84,19,4,2.49,21,5.77,2.11,22
6715,jour,5.74,1.45,19,2.95,2.21,20,5.45,1.79,20
6716,journal,5.91,1.77,81,3.23,2.23,107,6.31,2.04,109
6717,journalism,4.95,1.73,20,4.22,2.51,18,5.67,2.5,24
6718,journalist,5.3,1.42,20,3.86,2.36,22,6.15,2.09,27
6719,journalistic,5.55,1.39,20,3.2,1.91,20,6.45,1.71,22
6720,journey,6.65,1.84,20,4.89,2.63,18,6.77,1.74,22
6721,joust,4.9,1.68,20,5.61,2.04,23,5.11,2.13,19
6722,joy,8.21,1.18,19,5.55,2.85,49,7,2.05,55
6723,joyful,8.21,0.98,39,5.53,2.88,43,7.05,2.08,43
6724,joyous,7.45,1.82,22,6.62,2.11,21,6.25,1.83,20
6725,joyride,6.1,1.64,21,3.71,2.53,21,5.93,2.59,27
6726,jubilee,7.05,1.67,20,5.2,2.78,20,6.35,1.6,26
6727,judge,3.89,2.11,18,4.5,2.74,20,3.78,2.6,18
6728,judgment,4.65,1.84,20,4.27,2.45,22,5.54,2.5,26
6729,judgmental,3,1.41,19,5.05,1.72,21,3.79,2.15,19
6730,judicial,4,1.49,19,4.59,2.2,22,4.9,1.97,21
6731,judo,5.79,1.99,19,4.5,2.54,20,6.17,2.14,24
6732,jug,5.45,1.88,40,3.73,2.12,41,5.45,2.25,42
6733,juggle,5.84,1.21,19,5.14,2.33,21,4.7,2.87,20
6734,juggler,6.3,2.05,20,4.05,2.56,20,5.23,2.72,22
6735,jugular,5.2,1.91,20,4.56,2.77,25,4.84,1.86,19
6736,juice,6.9,1.61,21,4.6,2.74,20,5.74,2.84,19
6737,juicer,5.84,1.64,19,4.44,2.41,18,5.35,2.26,17
6738,juicy,7.05,1.54,20,4.7,2.58,20,5.48,2.33,25
6739,juju,4.73,1.16,22,4.12,2.44,26,5.21,2.02,24
6740,juke,5,1.78,18,3.3,2.18,20,4.92,1.98,25
6741,jukebox,6.76,2.1,21,4.9,2.22,20,5.67,2.15,36
6742,jumbo,4.9,1.71,20,4.24,2.28,21,4.92,1.69,24
6743,jump,6.44,1.69,18,5.14,2.43,21,5.72,1.99,18
6744,jump rope,5.74,2.05,19,4.7,2.89,20,5.54,1.99,28
6745,jumper,4.55,2.16,20,3.76,2.11,17,5,2.33,22
6746,jumpsuit,5.1,0.94,21,3.62,2.13,21,5.7,1.49,20
6747,jumpy,4.8,1.74,20,5.45,2.2,22,4.47,2.34,19
6748,junction,5.21,1.08,19,3.86,2.13,21,6.36,2,25
6749,juncture,5.25,0.97,20,4.08,2.38,25,5.79,2.02,24
6750,jungle,5.7,2.18,20,4.06,2.58,18,4.5,2.38,24
6751,junior,5.36,1.68,22,4.15,2.18,20,6.26,2.28,19
6752,juniper,6.33,1.57,18,3.27,2.1,22,5.3,1.89,23
6753,junk,3.57,1.89,21,3.95,2.26,20,4.86,2.56,21
6754,junket,4.22,1.44,18,3.5,2.19,20,5.35,2.01,20
6755,junkie,2.5,1.43,20,4.62,3.02,24,3.82,2.33,28
6756,junky,3.05,1.58,19,4.3,2.7,20,4.86,2.48,14
6757,junkyard,4.05,1.79,22,3.95,2.2,21,4.82,1.99,22
6758,jurisdiction,4.68,2,19,3.95,2.35,20,4.33,2.58,21
6759,juror,4.65,1.79,20,4.5,2.38,18,5.08,2.78,24
6760,jury,4.23,1.63,22,5.2,2.48,20,5.21,2.88,19
6761,justice,6.8,1.54,41,5.4,2.37,42,6.31,2.24,16
6762,justifiable,6.1,1.41,21,3.58,2.17,24,5.84,2.43,19
6763,justification,5.68,2.11,19,4.09,2.02,22,6.48,1.68,23
6764,justify,6.17,1.69,18,3.2,2.24,20,6.04,1.84,25
6765,juvenile,3.74,1.91,19,3.85,2.25,20,4.12,2.47,24
6766,kale,5.79,2.2,19,3.29,2.27,24,5.5,2.25,28
6767,kamikaze,3.58,2.22,19,4.68,2.9,22,3.87,2.62,23
6768,kangaroo,6.45,1.28,20,4.27,2.69,22,5.37,2.29,27
6769,kappa,5.65,1.31,20,2.79,1.93,19,4.59,1.37,22
6770,kaput,3.95,1.77,21,4.45,1.99,20,4.52,2.31,25
6771,karaoke,6.29,2.19,21,5,2.83,22,6.17,2.43,18
6772,karate,6.26,1.33,19,4.6,2.5,20,6.74,1.66,23
6773,karma,6.28,1.23,18,4.18,2.24,17,3.29,2.2,17
6774,karmic,5.63,1.67,19,4.22,2.1,18,4.19,2.54,16
6775,kayak,5.68,2.26,19,3.77,2.81,22,5.43,1.87,28
6776,kazoo,5.76,2.21,21,5.05,2.72,20,5.1,2.57,21
6777,kebab,5.95,1.88,21,3.65,2.25,20,5.23,2.27,22
6778,keel,4.64,1.53,22,4.15,2.07,26,5.74,1.81,23
6779,keen,6.72,1.36,18,3.21,1.99,19,5.52,2.02,25
6780,keep,6.32,1.86,22,3.43,2.34,21,5.71,1.86,17
6781,keeper,5.89,1.37,19,3.81,1.91,21,4.83,2.42,23
6782,keepsake,6.73,1.45,22,4.43,2.63,23,5.95,1.68,19
6783,keg,5.65,1.6,20,4.52,2.09,23,6.33,2.03,21
6784,kelp,5,1.38,20,3.46,2.41,24,5.18,2.18,28
6785,kennel,4.64,1.81,22,3.67,2.33,21,5.73,2.27,22
6786,kerchief,5.31,1.22,42,2.95,1.84,38,5.1,1.92,42
6787,kernel,5.23,1.72,22,3.87,2.3,23,5.53,1.26,19
6788,kerosene,3.86,1.88,22,4,2.19,21,5.34,2.16,53
6789,ketchup,6.03,2.18,40,3.85,2.78,20,5.48,1.89,44
6790,kettle,5.67,1.54,43,3.1,1.76,21,5.68,1.91,47
6791,key,6.22,1.46,45,3.9,2.07,21,6.75,1.62,20
6792,keyboard,5.17,2.12,18,3.59,2.15,22,5.13,2.44,23
6793,keyhole,5.39,1.14,18,3.96,2.36,23,5.74,1.73,19
6794,keynote,5.67,1.46,21,3.1,1.58,21,5.84,2.1,25
6795,keypad,5.65,1.6,20,3,2.05,20,6,2.81,19
6796,keyword,5.6,1.27,20,3.67,1.97,18,5.73,1.32,22
6797,khaki,5.05,1.32,20,2.64,2.01,22,6.08,2.08,26
6798,kibble,5.5,1.85,20,3.7,2.13,20,5.46,1.56,26
6799,kick,4.55,2.19,20,5.1,2.42,42,5.1,2.49,20
6800,kickboxing,5.33,2.15,21,4.45,2.69,22,5.18,2.11,22
6801,kicker,5.11,0.81,19,4.85,2.3,20,5.53,1.93,19
6802,kickoff,4.95,1.76,20,5,2.47,22,6.11,1.76,19
6803,kid,7.23,2.35,22,4.71,2.67,21,4.83,2.55,18
6804,kidder,6.38,1.77,21,3.25,1.97,20,5.09,2.49,22
6805,kiddo,5.65,1.84,20,4.68,2.64,22,5.26,2.18,27
6806,kidnap,2.19,1.29,21,5.59,2.75,22,2.37,2.02,27
6807,kidnapper,1.77,1.02,22,6.52,1.81,25,3.33,2.32,24
6808,kidnapping,2.05,1.57,20,5.36,2.61,22,2.47,1.98,19
6809,kidney,4.9,1.89,21,3.95,2.32,19,5.44,2.1,36
6810,kids,6.48,2.16,21,5.69,2.47,45,5.13,2.56,38
6811,kill,1.81,1.6,21,6.81,2.54,21,3.61,2.3,18
6812,killer,1.74,1.28,19,7.05,2.39,41,4.43,3.13,23
6813,killing,1.95,1.53,21,5.52,3.16,25,4.47,2.91,19
6814,killjoy,3.84,1.86,19,4.14,2.19,22,4.05,2.3,19
6815,kilo,4.29,1.68,21,3.26,1.89,23,5.19,2.04,21
6816,kilometer,5.52,1.57,21,4.1,2.75,20,4.81,1.92,36
6817,kilt,5.12,2.13,24,4.74,2.47,23,4.81,1.44,21
6818,kimono,5.9,1.3,21,3.77,2.27,22,5.08,2.35,26
6819,kin,5.85,1.09,20,3,1.69,22,5.05,2.57,19
6820,kind,7.78,1.12,40,3.19,2.02,21,7.62,1.79,40
6821,kindergarten,6.62,1.99,21,3.09,2.35,23,6.17,2.62,18
6822,kindling,5.45,1.61,20,4.05,2.42,22,5.85,2.35,27
6823,kindness,7.65,1.76,102,3.96,2.65,103,6.95,2.12,99
6824,kindred,6.47,1.98,19,3.23,2.07,22,5.46,2,24
6825,kinesiology,4.9,1.83,20,3.89,2.19,18,5.14,1.83,22
6826,kinetic,5.11,2.23,19,4.95,2.52,22,5.29,1.68,24
6827,king,6,2.34,23,4.45,2.68,47,5.53,2.69,53
6828,king snake,3.26,2.05,23,6.64,2.52,22,3.8,2.67,20
6829,kingdom,6.74,2.13,19,4.2,2.42,20,6.75,2.22,20
6830,kingpin,4.37,1.8,19,5.14,2.48,21,5.17,2.01,23
6831,kink,5.29,1.79,21,4.8,2.67,20,4.82,2.54,22
6832,kinky,5.71,2.17,21,5.52,2.89,23,5.33,2.45,18
6833,kinship,7.53,1.39,19,4.65,2.06,23,6.26,2.1,19
6834,kiosk,5,1.79,21,3.35,1.58,23,5.1,1.76,21
6835,kiss,7.78,1.64,41,6.05,3.03,22,6.52,2.43,42
6836,kisser,7.33,1.57,18,5.85,2.48,20,5.38,2.24,24
6837,kissy,7.06,1.52,17,5.32,2.56,19,5.2,2.2,25
6838,kit,6.1,1.21,20,3.68,2.46,22,6.29,1.52,21
6839,kitchen,6.17,1.98,18,3.52,2.62,21,5.89,2,18
6840,kite,6.9,1.45,20,4.2,2.63,20,6.24,2.37,25
6841,kitten,7.58,1.72,868,3.19,2.66,21,6.67,1.87,42
6842,kiwi,6.11,2.17,18,3.65,2.48,20,5.5,1.72,24
6843,klutz,3.81,1.72,21,4.08,2.33,25,4.21,2.32,19
6844,knack,5.68,1.86,19,3.77,2.09,22,5.71,2.03,21
6845,knapsack,5.3,1.45,20,3.86,2.4,22,5.5,2.47,26
6846,knee,4.7,1.49,20,4.25,2.27,20,5.38,1.86,26
6847,kneecap,4.55,1.47,20,3.74,2.1,19,5.46,1.86,26
6848,kneel,4,1.76,19,3.18,2.04,22,4.88,2.13,24
6849,knick,5,1.41,18,3.45,2.24,20,4.84,1.46,25
6850,knickers,5.74,1.71,23,3.7,2.83,20,4.09,2.33,22
6851,knife,4.33,1.98,21,4.86,2.48,21,5.29,2.97,17
6852,knighthood,6.2,1.67,20,4.86,2.1,22,5.81,1.66,21
6853,knit,5.85,1.6,20,3.35,2.25,20,6.44,1.69,25
6854,knob,5.21,1.36,19,3.05,1.75,21,5.35,1.9,23
6855,knock,5.44,1.54,18,3.95,2.24,20,5.11,1.78,18
6856,knockoff,3.55,1.68,22,4.22,2.37,23,4.68,1.97,19
6857,knockout,4.95,2.48,19,5.91,2.91,22,4.11,2.41,28
6858,knoll,5.09,1.06,22,3.68,2.06,22,5.55,1.85,20
6859,knot,4.57,1.03,21,3.84,2.3,43,6.04,2.24,25
6860,know,6.82,1.44,22,3.24,2.02,21,5.78,1.96,18
6861,knowledge,7.28,1.67,39,4.86,2.65,42,7.2,1.84,45
6862,knowledgeable,7.95,1.12,21,4.65,2.21,20,7.19,1.99,21
6863,knuckle,4.68,1.97,19,4.32,2.5,22,4.95,1.99,21
6864,knucklehead,3.79,1.87,19,4.82,2.22,22,4.64,1.73,22
6865,koala,6.65,1.42,20,3.73,1.75,22,6.62,1.6,21
6866,kook,4.5,1.37,22,3.38,2.58,26,4.78,2.3,23
6867,kooky,6.42,1.22,19,5.67,1.91,21,5.3,1.92,23
6868,kool-aid,6.6,2.01,20,4.09,2.74,22,5.22,1.93,27
6869,kosher,4.68,1.34,19,3.06,1.83,18,6.12,2.29,17
6870,kraut,4.72,1.93,18,3.55,2.39,20,4.6,2.26,20
6871,kryptonite,5.21,2.04,19,5.86,2.29,21,4.96,2.03,23
6872,kudos,6.95,1.17,22,4.27,1.98,22,6.95,1.54,19
6873,kumquat,6.1,1.48,20,2.75,1.92,20,4.59,1.62,22
6874,lab,4.57,1.5,21,4.35,2.25,20,6.68,2.19,19
6875,label,4.79,1.23,19,3.38,1.6,21,5.48,1.59,23
6876,labor,4.74,1.97,19,5.23,2.45,22,5.41,2.48,22
6877,laboratory,5.14,1.61,22,4.38,2.4,21,4.77,2.51,22
6878,laborer,4.71,2.03,21,4.08,2.1,26,5.21,2.65,24
6879,labyrinth,4.84,2.17,19,4.24,2.36,21,3.8,2.12,20
6880,lace,6.58,2.12,19,3.75,2.69,20,6.7,1.95,20
6881,laceration,3.43,1.5,21,6.67,1.71,21,3.64,1.96,25
6882,lack,3.68,1.38,19,2.24,1.18,21,5.46,2.3,24
6883,lackey,4.32,1.77,19,4,2.43,21,4.13,2.46,23
6884,lacquer,4.95,1.36,21,3.3,2.29,23,5,1.83,26
6885,lacrosse,5.29,1.21,17,3.7,2.72,20,4.84,1.7,25
6886,lactose,4.44,1.78,25,3.44,2.38,25,4.26,2.23,19
6887,lad,6.19,1.57,21,3.6,2.56,20,5,2.2,36
6888,ladder,5.32,1.49,19,4.09,2.31,23,5.56,2.06,18
6889,laddie,5.5,1.3,22,4.32,1.83,19,5,1.67,21
6890,ladle,5.11,1.7,19,2.82,2.04,22,5.42,2,24
6891,lady,6.91,1.31,22,4.05,2.04,21,5.87,2,15
6892,lady bug,7,1.45,20,3.38,2.6,21,5.8,2.33,25
6893,ladybug,6.9,1.55,20,3.45,1.9,20,5.33,2.18,21
6894,ladylike,5.68,2.43,19,3.77,2.45,22,5.37,2.6,27
6895,ladyship,6.24,1.79,21,3.45,2.34,22,5.15,1.83,26
6896,lag,3.9,1.18,21,4,2.67,26,4.57,2.37,23
6897,lager,5.4,2.09,20,3.11,2.27,18,5.64,2.11,22
6898,lagoon,6.23,1.69,22,3.56,2.36,18,4.62,2.16,21
6899,lair,5,2.13,20,5.35,2.5,20,5.12,2.03,26
6900,lake,7.13,1.34,39,2.64,2.08,44,5.36,2.33,25
6901,lamb,6.3,1.51,40,3.32,2.44,22,5.72,2.26,25
6902,lame,3.2,1.15,20,2.74,1.66,19,3.45,1.63,22
6903,lament,4.16,1.3,19,3.33,1.81,18,3.47,1.46,17
6904,lamp,5.74,1.12,39,2.71,1.8,42,6.04,2.21,54
6905,lamppost,5.29,1.65,21,2.76,2.05,21,6.17,1.99,24
6906,lance,4.7,1.56,20,3.6,2.72,20,5.17,1.76,24
6907,lancer,4.58,1.8,19,3.25,1.92,20,4.61,2.21,23
6908,land,6.61,1.82,18,3.05,2.16,21,5.94,1.83,18
6909,landfall,4.95,1.9,19,3.45,2.13,22,5.04,2.4,23
6910,landfill,3.14,1.71,21,3.65,2.06,20,4.46,2.15,35
6911,landing,5.09,1.34,22,3.62,2.3,26,5.62,2.14,24
6912,landlady,4.1,1.7,21,4.9,2.57,20,4.52,2.52,21
6913,landlord,3.5,1.7,20,3.95,1.75,21,4.64,2.82,33
6914,landmark,6,1.62,20,4.15,2.3,20,5.5,1.82,26
6915,landscape,7,1.58,21,3.75,2.94,20,5,2.05,20
6916,landscaping,6.58,1.71,19,4,2.41,20,6.31,2.17,26
6917,landslide,4.76,2.07,21,5.89,2.45,18,3.81,2.56,36
6918,lane,5.29,1.98,21,3.95,2.26,20,6.95,2.2,19
6919,language,6.38,1.6,21,3.7,2.11,20,7.37,1.74,19
6920,lanky,5.71,1.59,21,4.32,2.14,19,5.11,2.2,36
6921,lantern,5.37,1.86,19,3.21,1.8,42,5.24,2.31,50
6922,lap,5.89,1.79,19,3.45,2.4,22,5.26,2.2,23
6923,lapdog,6.45,2.24,20,3.2,2.35,20,4.53,2.61,19
6924,lapel,5.74,1.66,19,3.17,2.23,23,5.21,1.69,19
6925,lapse,4.35,1.53,20,3.11,2.37,18,3.59,1.74,22
6926,laptop,6.95,1.56,21,4.62,2.81,24,6.5,2.06,20
6927,larceny,3.1,1.59,20,5.44,2.73,18,4.29,2.26,24
6928,lard,3.55,1.61,20,2.95,2.26,20,4.18,2.34,22
6929,large,5.77,1.9,22,5.35,2.41,20,5.05,2.59,19
6930,lark,5.19,1.36,21,3.52,2.11,23,4.96,1.28,26
6931,laryngitis,3.14,1.35,21,3.56,2.18,18,4.06,2.59,17
6932,larynx,4.45,1.06,22,4,2.2,23,5.84,1.86,19
6933,lasagna,7.1,1.41,20,5.04,2.58,24,5.89,2.3,28
6934,laser,5.64,1.68,22,5.09,2.51,22,5.52,2.36,21
6935,lash,4.63,2.03,19,4.65,2.46,20,5.2,2.61,20
6936,lass,5.42,1.71,19,4.24,1.95,21,5.75,2.03,24
6937,lasso,5.33,1.28,21,4.67,2.03,21,4.68,2.44,25
6938,lasting,6.67,1.85,21,3.33,1.96,21,6.33,2.12,24
6939,latch,5,1.76,19,3.09,1.74,22,4.78,2.28,23
6940,late,3.32,1.17,22,5.57,2.56,21,4.22,2.18,18
6941,latent,4.48,1.03,21,3.04,2.37,24,4.11,2.16,19
6942,lateral,5.43,1.47,21,4.11,2.62,19,4.68,2.19,22
6943,latex,3.95,2.04,20,3.72,2.8,18,5.54,2.21,24
6944,lather,5.57,1.57,21,4.39,2.92,23,6.16,1.89,19
6945,latitude,4.82,1.56,22,3.74,2.3,23,5.47,2.27,19
6946,latrine,4,2.03,20,3.82,2.3,22,5.56,2.21,27
6947,latte,6.45,1.43,20,4.79,2.6,24,6.4,2.23,20
6948,laugh,7.56,2.64,18,6.62,1.91,21,7.39,1.54,18
6949,laughable,6.21,1.96,19,5.6,2.3,20,5.46,2.4,24
6950,laughingstock,3.77,2.33,22,5.16,2.34,19,3.52,2.68,21
6951,laughter,8.05,1.57,103,5.39,2.88,105,7.02,2.08,92
6952,launch,6.4,1.88,20,5.26,2.16,23,6.75,1.83,20
6953,launcher,5.38,1.77,21,4.39,2.69,23,5.11,2.4,18
6954,launder,5.15,1.18,20,3.57,2.04,21,5.36,2.8,25
6955,laundering,5.3,2.2,20,3.71,2.67,21,3.84,2.25,25
6956,laundry,5.15,1.46,20,4.5,2.36,24,6.09,2.29,22
6957,lava,4.33,2.27,21,5.26,2.54,23,3.12,1.96,25
